insurer,insurerGroup,approvedRateChange ,approvalDate,renewalEffectiveDate,marketShare,marketShareYear
Farm Mutual Reinsurance Plan Inc. (on behalf of Ontario Mutuals),FMRe,0.00,"Dec 21, 2018","Jun 1, 2019",1.7450,2017
Farm Mutual Reinsurance Plan Inc. (on behalf of Ontario Mutuals),FMRe,3.50,"Jul 24, 2019","Oct 1, 2019",1.7776,2018
Farm Mutual Reinsurance Plan Inc. (on behalf of Ontario Mutuals),FMRe,4.80,"Oct 18, 2019","Feb 1, 2020",1.7776,2018
Farm Mutual Reinsurance Plan Inc. (on behalf of Ontario Mutuals),FMRe,-0.24,"Mar 11, 2020","Jun 1, 2020",1.7776,2018
Farm Mutual Reinsurance Plan Inc. (on behalf of Ontario Mutuals),FMRe,0.00,"Dec 10, 2020","May 1, 2021",1.7955,2019
Farm Mutual Reinsurance Plan Inc. (on behalf of Ontario Mutuals),FMRe,0.00,"Sep 7, 2021","Jan 1, 2022",1.6683,2020
Federated Insurance Company of Canada,Northbridge,0.00,"Apr 18, 2018","Jul 1, 2018",0.0235,2017
Federated Insurance Company of Canada,Northbridge,0.00,"Aug 22, 2018","Nov 15, 2018",0.0235,2017
Federated Insurance Company of Canada,Northbridge,0.00,"Aug 22, 2018","Nov 15, 2018",0.0235,2017
Federated Insurance Company of Canada,Northbridge,0.00,"Sep 10, 2020","Jan 15, 2021",0.0265,2019
Gore Mutual Insurance Company,Gore,9.43,"Dec 12, 2017","Apr 1, 2018",1.6313,2017
Gore Mutual Insurance Company,Gore,0.00,"Mar 20, 2018","Jul 1, 2018",1.6313,2017
Gore Mutual Insurance Company,Gore,4.97,"Nov 15, 2019","Mar 1, 2020",1.4946,2018
Gore Mutual Insurance Company,Gore,-4.96,"Oct 8, 2020","Jan 1, 2021",1.4325,2019
Gore Mutual Insurance Company,Gore,0.00,"Feb 22, 2021","Oct 4, 2021",1.3924,2020
Gore Mutual Insurance Company,Gore,0.23,"Jun 23, 2021","Oct 4, 2021",1.3924,2020
Guarantee Company of North America (The),Intact,4.26,"Feb 21, 2018","Apr 15, 2018",0.5992,2017
Guarantee Company of North America (The),Intact,0.00,"Apr 16, 2018","Jul 1, 2018",0.5992,2017
Guarantee Company of North America (The),Intact,6.66,"Nov 1, 2018","Jan 1, 2019",0.5992,2017
Guarantee Company of North America (The),Intact,11.31,"May 22, 2019","Aug 1, 2019",0.6230,2018
Guarantee Company of North America (The),Intact,7.54,"Oct 29, 2019","Jan 15, 2020",0.6230,2018
Hartford Fire Insurance Company,Hartford,0.00,"Apr 4, 2018","Jul 1, 2018",0.0007,2017
Hartford Fire Insurance Company,Hartford,34.87,"Dec 19, 2018","Apr 1, 2019",0.0007,2017
Heartland Farm Mutual Inc.,Heartland,0.00,"Mar 28, 2018","Jul 1, 2018",0.3282,2017
Heartland Farm Mutual Inc.,Heartland,5.29,"Jul 16, 2018","Oct 15, 2018",0.3282,2017
Heartland Farm Mutual Inc.,Heartland,6.98,"Nov 14, 2018","Feb 1, 2019",0.3282,2017
Heartland Farm Mutual Inc.,Heartland,0.00,"Mar 11, 2019","Jul 1, 2019",0.3307,2018
Heartland Farm Mutual Inc.,Heartland,4.75,"Jul 19, 2019","Nov 15, 2019",0.3307,2018
Heartland Farm Mutual Inc.,Heartland,4.94,"Jan 24, 2020","May 1, 2020",0.3307,2018
Heartland Farm Mutual Inc.,Heartland,-0.42,"May 8, 2020","Jan 1, 2021",0.3029,2019
Heartland Farm Mutual Inc.,Heartland,-4.95,"Apr 29, 2021","Jul 1, 2021",0.3225,2020
Heartland Farm Mutual Inc.,Heartland,-5.60,"Jul 12, 2021","Nov 1, 2021",0.3225,2020
Intact Insurance Company,Intact,5.12,"Mar 9, 2018","May 11, 2018",9.3074,2017
Intact Insurance Company,Intact,0.00,"May 17, 2018","Sep 8, 2018",9.3074,2017
Intact Insurance Company,Intact,5.99,"Aug 10, 2018","Oct 19, 2018",9.3074,2017
Intact Insurance Company,Intact,5.00,"Jun 20, 2019","Sep 7, 2019",8.0781,2018
Intact Insurance Company,Intact,0.00,"Sep 12, 2019","Dec 6, 2019",8.0781,2018
Intact Insurance Company,Intact,5.00,"Nov 15, 2019","Feb 8, 2020",8.0781,2018
Intact Insurance Company,Intact,0.12,"Jan 22, 2020","Apr 10, 2020",8.0781,2018
Intact Insurance Company,Intact,0.00,"Mar 17, 2020","Jun 15, 2020",8.0781,2018
Intact Insurance Company,Intact,-0.08,"May 14, 2020","Aug 30, 2020",7.6269,2019
Intact Insurance Company,Intact,-2.15,"Sep 11, 2020","Dec 18, 2020",7.6269,2019
Intact Insurance Company,Intact,-1.90,"Jun 22, 2021","Oct 1, 2021",8.2893,2020
Intact Insurance Company,Intact,0.00,"Oct 20, 2021","Feb 5, 2022",8.2893,2020
Scottish & York Insurance Co. Limited,Aviva,-0.68,"Nov 19, 2021","Feb 15, 2022",1.1030,2020
Aviva Insurance Company of Canada,Aviva,-0.76,"Nov 19, 2021","Feb 15, 2022",5.2874,2020
Traders General Insurance Company,Aviva,-0.67,"Nov 19, 2021","Feb 15, 2022",1.5475,2020
Security National Insurance Company,TD,-0.02,"Nov 18, 2021","Mar 25, 2022",6.6782,2020
AIG Insurance Company of Canada,AIG,0.00,"Mar 28, 2018","Oct 28, 2018",0.0491,2017
Allstate Insurance Company of Canada,Allstate,3.13,"Dec 28, 2017","Feb 16, 2018",5.5551,2017
Allstate Insurance Company of Canada,Allstate,0.00,"Jan 25, 2018","Jul 1, 2018",5.5551,2017
Allstate Insurance Company of Canada,Allstate,0.00,"Mar 28, 2018","Sep 1, 2018",5.5551,2017
